iter	Passed	Remaining
0	6	6232
1	12	6270
2	19	6345
3	24	6047
4	30	6020
5	36	5993
6	41	5904
7	47	5875
8	53	5913
9	59	5919
10	65	5859
11	70	5813
12	76	5823
13	81	5736
14	86	5664
15	91	5648
16	96	5598
17	102	5577
18	107	5556
19	112	5510
20	118	5510
21	123	5487
22	128	5450
23	133	5443
24	138	5420
25	143	5377
26	148	5361
27	153	5333
28	159	5326
29	165	5335
30	170	5318
31	175	5319
32	181	5322
33	186	5297
34	191	5287
35	197	5278
36	201	5249
37	207	5244
38	212	5244
39	218	5238
40	223	5228
41	228	5215
42	233	5205
43	239	5196
44	244	5195
45	249	5180
46	255	5185
47	262	5198
48	266	5175
49	271	5160
50	276	5140
51	280	5120
52	286	5111
53	290	5086
54	295	5081
55	300	5066
56	305	5050
57	310	5043
58	314	5022
59	320	5025
60	325	5016
61	330	5005
62	336	4998
63	341	4987
64	345	4970
65	350	4957
66	354	4938
67	359	4930
68	363	4911
69	368	4899
70	373	4889
71	378	4873
72	382	4861
73	387	4844
74	391	4833
75	396	4817
76	401	4813
77	406	4801
78	410	4789
79	415	4781
80	420	4770
81	426	4770
82	430	4758
83	435	4745
84	440	4739
85	444	4720
86	449	4713
87	453	4701
88	458	4689
89	462	4678
90	467	4670
91	472	4663
92	476	4651
93	481	4644
94	486	4635
95	491	4630
96	496	4625
97	501	4616
98	506	4607
99	510	4595
100	515	4586
101	520	4579
102	524	4567
103	529	4562
104	533	4550
105	538	4542
106	542	4530
107	547	4521
108	551	4512
109	556	4503
110	561	4496
111	566	4488
112	571	4485
113	576	4480
114	580	4469
115	585	4465
116	590	4454
117	595	4450
118	600	4442
119	604	4435
120	609	4429
121	614	4420
122	619	4416
123	623	4406
124	628	4401
125	633	4394
126	637	4384
127	642	4377
128	647	4369
129	652	4364
130	657	4358
131	661	4351
132	666	4344
133	670	4334
134	675	4330
135	680	4321
136	684	4313
137	689	4304
138	694	4301
139	699	4297
140	704	4288
141	710	4291
142	716	4293
143	721	4289
144	726	4282
145	731	4276
146	735	4269
147	741	4269
148	745	4260
149	750	4254
150	755	4246
151	759	4237
152	764	4232
153	768	4223
154	773	4218
155	778	4213
156	783	4207
157	788	4203
158	792	4194
159	797	4189
160	802	4181
161	807	4175
162	811	4169
163	816	4160
164	821	4158
165	825	4149
166	830	4143
167	835	4136
168	839	4129
169	844	4123
170	848	4115
171	854	4111
172	858	4104
173	863	4099
174	867	4091
175	872	4083
176	876	4077
177	881	4070
178	886	4064
179	890	4056
180	895	4051
181	900	4047
182	905	4042
183	910	4038
184	914	4030
185	920	4026
186	925	4022
187	929	4015
188	934	4012
189	939	4004
190	944	3999
191	948	3991
192	953	3986
193	958	3982
194	962	3975
195	967	3970
196	972	3963
197	977	3959
198	982	3954
199	987	3949
200	992	3944
201	996	3938
202	1001	3933
203	1006	3929
204	1011	3922
205	1016	3916
206	1020	3910
207	1025	3905
208	1030	3900
209	1035	3894
210	1040	3889
211	1044	3882
212	1049	3878
213	1054	3873
214	1059	3868
215	1064	3863
216	1069	3857
217	1073	3851
218	1078	3845
219	1082	3839
220	1087	3834
221	1091	3826
222	1096	3820
223	1101	3815
224	1107	3813
225	1112	3809
226	1116	3802
227	1121	3797
228	1126	3791
229	1131	3787
230	1135	3780
231	1139	3773
232	1144	3768
233	1149	3763
234	1154	3759
235	1159	3752
236	1163	3746
237	1168	3742
238	1173	3735
239	1178	3733
240	1183	3727
241	1188	3722
242	1193	3718
243	1198	3713
244	1203	3709
245	1209	3707
246	1214	3701
247	1220	3699
248	1224	3694
249	1229	3689
250	1235	3686
251	1240	3682
252	1246	3681
253	1259	3699
254	1270	3710
255	1276	3710
256	1283	3709
257	1289	3708
258	1294	3702
259	1300	3700
260	1305	3695
261	1309	3689
262	1316	3688
263	1321	3684
264	1325	3676
265	1330	3671
266	1334	3664
267	1339	3659
268	1344	3652
269	1348	3646
270	1353	3640
271	1357	3633
272	1362	3628
273	1366	3621
274	1371	3616
275	1376	3609
276	1380	3602
277	1384	3595
278	1389	3589
279	1394	3584
280	1398	3578
281	1403	3573
282	1408	3567
283	1412	3561
284	1417	3555
